id,treatment,microbiome,value,shortform_biocrates,MATCH_NAME 
sexGF5,Sham,COL,49.4,Cit,citrulline
sGF1,Sham,GF,53.2,Cit,citrulline
sGF2,Sham,GF,60.1,Cit,citrulline
sGF3,Sham,GF,89.5,Cit,citrulline
sGF4,Sham,GF,94.7,Cit,citrulline
sGF5,Sham,GF,89.3,Cit,citrulline
exGF06,AngII,COL,3.2,DG(18:1_18:1),DG(18:1_18:1)
exGF07,AngII,COL,2.11,DG(18:1_18:1),DG(18:1_18:1)
exGF09,AngII,COL,2.52,DG(18:1_18:1),DG(18:1_18:1)
exGF10,AngII,COL,3.02,DG(18:1_18:1),DG(18:1_18:1)
exGF11,AngII,COL,2.93,DG(18:1_18:1),DG(18:1_18:1)
exGF12,AngII,COL,1.81,DG(18:1_18:1),DG(18:1_18:1)
exGF13,AngII,COL,3.01,DG(18:1_18:1),DG(18:1_18:1)
exGF14,AngII,COL,1.9,DG(18:1_18:1),DG(18:1_18:1)
exGF16,AngII,COL,0.971,DG(18:1_18:1),DG(18:1_18:1)
exGF17,AngII,COL,1.71,DG(18:1_18:1),DG(18:1_18:1)
exGF18,AngII,COL,1.01,DG(18:1_18:1),DG(18:1_18:1)
exGF19,AngII,COL,1.42,DG(18:1_18:1),DG(18:1_18:1)
GF07,AngII,GF,3.26,DG(18:1_18:1),DG(18:1_18:1)
GF08,AngII,GF,3.41,DG(18:1_18:1),DG(18:1_18:1)
GF09,AngII,GF,,DG(18:1_18:1),DG(18:1_18:1)
GF10,AngII,GF,4.08,DG(18:1_18:1),DG(18:1_18:1)
GF15,AngII,GF,1.28,DG(18:1_18:1),DG(18:1_18:1)
GF16,AngII,GF,1.57,DG(18:1_18:1),DG(18:1_18:1)
GF17,AngII,GF,1.53,DG(18:1_18:1),DG(18:1_18:1)
GF19,AngII,GF,2.43,DG(18:1_18:1),DG(18:1_18:1)
GF20,AngII,GF,1.94,DG(18:1_18:1),DG(18:1_18:1)
GF21,AngII,GF,1.93,DG(18:1_18:1),DG(18:1_18:1)
GF22,AngII,GF,1.55,DG(18:1_18:1),DG(18:1_18:1)
sGF1,Sham,GF,0.84,DG(18:1_18:1),DG(18:1_18:1)
sGF2,Sham,GF,0.478,DG(18:1_18:1),DG(18:1_18:1)
sGF3,Sham,GF,0.945,DG(18:1_18:1),DG(18:1_18:1)
sGF4,Sham,GF,0.573,DG(18:1_18:1),DG(18:1_18:1)
sGF5,Sham,GF,0.737,DG(18:1_18:1),DG(18:1_18:1)
sexGF1,Sham,COL,2.95,DG(18:1_18:1),DG(18:1_18:1)
sexGF2,Sham,COL,2.95,DG(18:1_18:1),DG(18:1_18:1)
sexGF3,Sham,COL,1.68,DG(18:1_18:1),DG(18:1_18:1)
sexGF4,Sham,COL,1.77,DG(18:1_18:1),DG(18:1_18:1)
sexGF5,Sham,COL,2.1,DG(18:1_18:1),DG(18:1_18:1)
exGF06,AngII,COL,1.75,DG(18:1_18:3),NA
exGF07,AngII,COL,,DG(18:1_18:3),NA
exGF09,AngII,COL,1.13,DG(18:1_18:3),NA
exGF10,AngII,COL,1.42,DG(18:1_18:3),NA
exGF11,AngII,COL,1.51,DG(18:1_18:3),NA
exGF12,AngII,COL,1.02,DG(18:1_18:3),NA
exGF13,AngII,COL,1.14,DG(18:1_18:3),NA
exGF14,AngII,COL,1.25,DG(18:1_18:3),NA
exGF16,AngII,COL,0.811,DG(18:1_18:3),NA
exGF17,AngII,COL,1.12,DG(18:1_18:3),NA
exGF18,AngII,COL,1.01,DG(18:1_18:3),NA
exGF19,AngII,COL,0.604,DG(18:1_18:3),NA
GF07,AngII,GF,1.22,DG(18:1_18:3),NA
GF08,AngII,GF,1.69,DG(18:1_18:3),NA
GF09,AngII,GF,,DG(18:1_18:3),NA
GF10,AngII,GF,1.77,DG(18:1_18:3),NA
GF15,AngII,GF,0.817,DG(18:1_18:3),NA
GF16,AngII,GF,1.43,DG(18:1_18:3),NA
GF17,AngII,GF,,DG(18:1_18:3),NA
GF19,AngII,GF,1.05,DG(18:1_18:3),NA
GF20,AngII,GF,1.89,DG(18:1_18:3),NA
GF21,AngII,GF,0.968,DG(18:1_18:3),NA
GF22,AngII,GF,1.21,DG(18:1_18:3),NA
sGF1,Sham,GF,0.982,DG(18:1_18:3),NA
sGF2,Sham,GF,0.948,DG(18:1_18:3),NA
sGF3,Sham,GF,0.949,DG(18:1_18:3),NA
sGF4,Sham,GF,,DG(18:1_18:3),NA
sGF5,Sham,GF,1.14,DG(18:1_18:3),NA
sexGF1,Sham,COL,1.62,DG(18:1_18:3),NA
sexGF2,Sham,COL,1.91,DG(18:1_18:3),NA
sexGF3,Sham,COL,1.89,DG(18:1_18:3),NA
sexGF4,Sham,COL,1.77,DG(18:1_18:3),NA
sexGF5,Sham,COL,1.1,DG(18:1_18:3),NA
exGF06,AngII,COL,14.3,DG(18:2_18:2),DG(18:2_18:2)
exGF07,AngII,COL,13.5,DG(18:2_18:2),DG(18:2_18:2)
exGF09,AngII,COL,9.61,DG(18:2_18:2),DG(18:2_18:2)
exGF10,AngII,COL,8.08,DG(18:2_18:2),DG(18:2_18:2)
exGF11,AngII,COL,8.28,DG(18:2_18:2),DG(18:2_18:2)
exGF12,AngII,COL,11.2,DG(18:2_18:2),DG(18:2_18:2)
exGF13,AngII,COL,9.42,DG(18:2_18:2),DG(18:2_18:2)
exGF14,AngII,COL,8.6,DG(18:2_18:2),DG(18:2_18:2)
exGF16,AngII,COL,5.81,DG(18:2_18:2),DG(18:2_18:2)
exGF17,AngII,COL,9.87,DG(18:2_18:2),DG(18:2_18:2)
exGF18,AngII,COL,6.71,DG(18:2_18:2),DG(18:2_18:2)
exGF19,AngII,COL,4.76,DG(18:2_18:2),DG(18:2_18:2)
GF07,AngII,GF,9.97,DG(18:2_18:2),DG(18:2_18:2)
GF08,AngII,GF,14.2,DG(18:2_18:2),DG(18:2_18:2)
GF09,AngII,GF,1.88,DG(18:2_18:2),DG(18:2_18:2)
GF10,AngII,GF,18.2,DG(18:2_18:2),DG(18:2_18:2)
GF15,AngII,GF,7.76,DG(18:2_18:2),DG(18:2_18:2)
GF16,AngII,GF,11.9,DG(18:2_18:2),DG(18:2_18:2)
GF17,AngII,GF,9.61,DG(18:2_18:2),DG(18:2_18:2)
GF19,AngII,GF,12.1,DG(18:2_18:2),DG(18:2_18:2)
GF20,AngII,GF,14.4,DG(18:2_18:2),DG(18:2_18:2)
GF21,AngII,GF,9.05,DG(18:2_18:2),DG(18:2_18:2)
GF22,AngII,GF,9.77,DG(18:2_18:2),DG(18:2_18:2)
sGF1,Sham,GF,10.4,DG(18:2_18:2),DG(18:2_18:2)
sGF2,Sham,GF,5.47,DG(18:2_18:2),DG(18:2_18:2)
sGF3,Sham,GF,11.2,DG(18:2_18:2),DG(18:2_18:2)
sGF4,Sham,GF,4.69,DG(18:2_18:2),DG(18:2_18:2)
sGF5,Sham,GF,10.3,DG(18:2_18:2),DG(18:2_18:2)
sexGF1,Sham,COL,17,DG(18:2_18:2),DG(18:2_18:2)
sexGF2,Sham,COL,20.4,DG(18:2_18:2),DG(18:2_18:2)
sexGF3,Sham,COL,9.79,DG(18:2_18:2),DG(18:2_18:2)
sexGF4,Sham,COL,9.16,DG(18:2_18:2),DG(18:2_18:2)
sexGF5,Sham,COL,12.4,DG(18:2_18:2),DG(18:2_18:2)
exGF06,AngII,COL,0.41,GABA,NA
exGF07,AngII,COL,0.483,GABA,NA
exGF09,AngII,COL,0.533,GABA,NA
exGF10,AngII,COL,0.67,GABA,NA
exGF11,AngII,COL,0.526,GABA,NA
exGF12,AngII,COL,0.286,GABA,NA
exGF13,AngII,COL,0.403,GABA,NA
exGF14,AngII,COL,0.464,GABA,NA
exGF16,AngII,COL,0.388,GABA,NA
exGF17,AngII,COL,0.471,GABA,NA
exGF18,AngII,COL,0.363,GABA,NA
exGF19,AngII,COL,0.503,GABA,NA
GF07,AngII,GF,0.543,GABA,NA
GF08,AngII,GF,0.71,GABA,NA
GF09,AngII,GF,0.801,GABA,NA
GF10,AngII,GF,0.67,GABA,NA
GF15,AngII,GF,0.489,GABA,NA
GF16,AngII,GF,0.9,GABA,NA
GF17,AngII,GF,0.469,GABA,NA
GF19,AngII,GF,0.601,GABA,NA
GF20,AngII,GF,0.385,GABA,NA
GF21,AngII,GF,0.519,GABA,NA
GF22,AngII,GF,0.536,GABA,NA
sexGF1,Sham,COL,0.367,GABA,NA
sexGF2,Sham,COL,0.377,GABA,NA
sexGF3,Sham,COL,0.282,GABA,NA
sexGF4,Sham,COL,0.217,GABA,NA
sexGF5,Sham,COL,0.329,GABA,NA
sGF1,Sham,GF,0.611,GABA,NA
sGF2,Sham,GF,0.631,GABA,NA
sGF3,Sham,GF,0.612,GABA,NA
sGF4,Sham,GF,0.711,GABA,NA
sGF5,Sham,GF,0.612,GABA,NA
exGF06,AngII,COL,485,Gln,glutamine
exGF07,AngII,COL,472,Gln,glutamine
exGF09,AngII,COL,617,Gln,glutamine
exGF10,AngII,COL,648,Gln,glutamine
exGF11,AngII,COL,656,Gln,glutamine
exGF12,AngII,COL,650,Gln,glutamine
exGF13,AngII,COL,700,Gln,glutamine
exGF14,AngII,COL,728,Gln,glutamine
exGF16,AngII,COL,582,Gln,glutamine
exGF17,AngII,COL,580,Gln,glutamine
exGF18,AngII,COL,450,Gln,glutamine
exGF19,AngII,COL,623,Gln,glutamine
GF07,AngII,GF,395,Gln,glutamine
GF08,AngII,GF,347,Gln,glutamine
GF09,AngII,GF,752,Gln,glutamine
GF10,AngII,GF,486,Gln,glutamine
GF15,AngII,GF,654,Gln,glutamine
GF16,AngII,GF,983,Gln,glutamine
GF17,AngII,GF,469,Gln,glutamine
GF19,AngII,GF,456,Gln,glutamine
GF20,AngII,GF,501,Gln,glutamine
GF21,AngII,GF,564,Gln,glutamine
GF22,AngII,GF,488,Gln,glutamine
sexGF1,Sham,COL,665,Gln,glutamine
sexGF2,Sham,COL,682,Gln,glutamine
sexGF3,Sham,COL,609,Gln,glutamine
sexGF4,Sham,COL,780,Gln,glutamine
sexGF5,Sham,COL,752,Gln,glutamine
sGF1,Sham,GF,420,Gln,glutamine
sGF2,Sham,GF,427,Gln,glutamine
sGF3,Sham,GF,614,Gln,glutamine
sGF4,Sham,GF,592,Gln,glutamine
sGF5,Sham,GF,560,Gln,glutamine
exGF06,AngII,COL,83.1,Glu,glutamate
exGF07,AngII,COL,49.4,Glu,glutamate
exGF09,AngII,COL,77,Glu,glutamate
exGF10,AngII,COL,114,Glu,glutamate
exGF11,AngII,COL,121,Glu,glutamate
exGF12,AngII,COL,51.4,Glu,glutamate
exGF13,AngII,COL,79.2,Glu,glutamate
exGF14,AngII,COL,121,Glu,glutamate
exGF16,AngII,COL,91.9,Glu,glutamate
exGF17,AngII,COL,110,Glu,glutamate
exGF18,AngII,COL,79,Glu,glutamate
exGF19,AngII,COL,95.4,Glu,glutamate
GF07,AngII,GF,106,Glu,glutamate
GF08,AngII,GF,236,Glu,glutamate
GF09,AngII,GF,48.9,Glu,glutamate
GF10,AngII,GF,61.3,Glu,glutamate
GF15,AngII,GF,132,Glu,glutamate
GF16,AngII,GF,131,Glu,glutamate
GF17,AngII,GF,161,Glu,glutamate
GF19,AngII,GF,126,Glu,glutamate
GF20,AngII,GF,75.1,Glu,glutamate
GF21,AngII,GF,87.5,Glu,glutamate
GF22,AngII,GF,106,Glu,glutamate
sexGF1,Sham,COL,74.1,Glu,glutamate
sexGF2,Sham,COL,69.4,Glu,glutamate
sexGF3,Sham,COL,58.8,Glu,glutamate
sexGF4,Sham,COL,58.4,Glu,glutamate
sexGF5,Sham,COL,76.4,Glu,glutamate
sGF1,Sham,GF,208,Glu,glutamate
sGF2,Sham,GF,210,Glu,glutamate
sGF3,Sham,GF,218,Glu,glutamate
sGF4,Sham,GF,186,Glu,glutamate
sGF5,Sham,GF,191,Glu,glutamate
exGF06,AngII,COL,292,Gly,glycine
exGF07,AngII,COL,289,Gly,glycine
exGF09,AngII,COL,286,Gly,glycine
exGF10,AngII,COL,291,Gly,glycine
exGF11,AngII,COL,307,Gly,glycine
exGF12,AngII,COL,280,Gly,glycine
exGF13,AngII,COL,296,Gly,glycine
exGF14,AngII,COL,299,Gly,glycine
exGF16,AngII,COL,267,Gly,glycine
exGF17,AngII,COL,257,Gly,glycine
exGF18,AngII,COL,249,Gly,glycine
exGF19,AngII,COL,247,Gly,glycine
GF07,AngII,GF,287,Gly,glycine
GF08,AngII,GF,270,Gly,glycine
GF09,AngII,GF,206,Gly,glycine
GF10,AngII,GF,281,Gly,glycine
GF15,AngII,GF,451,Gly,glycine
GF16,AngII,GF,445,Gly,glycine
GF17,AngII,GF,485,Gly,glycine
GF19,AngII,GF,287,Gly,glycine
GF20,AngII,GF,331,Gly,glycine
GF21,AngII,GF,405,Gly,glycine
GF22,AngII,GF,349,Gly,glycine
sexGF1,Sham,COL,269,Gly,glycine
sexGF2,Sham,COL,294,Gly,glycine
sexGF3,Sham,COL,223,Gly,glycine
sexGF4,Sham,COL,276,Gly,glycine
sexGF5,Sham,COL,272,Gly,glycine
sGF1,Sham,GF,360,Gly,glycine
sGF2,Sham,GF,382,Gly,glycine
sGF3,Sham,GF,477,Gly,glycine
sGF4,Sham,GF,471,Gly,glycine
sGF5,Sham,GF,391,Gly,glycine
exGF06,AngII,COL,1.65,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF07,AngII,COL,1.03,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF09,AngII,COL,0.909,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF10,AngII,COL,0.784,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF11,AngII,COL,0.835,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF12,AngII,COL,0.469,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF13,AngII,COL,0.679,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF14,AngII,COL,0.901,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF16,AngII,COL,0.636,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF17,AngII,COL,0.717,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF18,AngII,COL,1.58,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF19,AngII,COL,1.73,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF07,AngII,GF,0.925,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF08,AngII,GF,0.676,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF09,AngII,GF,0.67,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF10,AngII,GF,1.12,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF15,AngII,GF,0.782,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF16,AngII,GF,0.578,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF17,AngII,GF,0.876,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF19,AngII,GF,0.833,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF20,AngII,GF,0.648,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF21,AngII,GF,1.06,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
GF22,AngII,GF,0.865,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sGF1,Sham,GF,0.365,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sGF2,Sham,GF,0.309,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sGF3,Sham,GF,0.515,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sGF4,Sham,GF,0.408,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sGF5,Sham,GF,0.384,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sexGF1,Sham,COL,0.411,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sexGF2,Sham,COL,0.475,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sexGF3,Sham,COL,0.417,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sexGF4,Sham,COL,0.307,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
sexGF5,Sham,COL,0.371,HexCer(d18:1/16:0),HexCer(d18:1/16:0)
exGF06,AngII,COL,1.31,HexCer(d18:1/23:0),NA
exGF07,AngII,COL,0.62,HexCer(d18:1/23:0),NA
exGF09,AngII,COL,0.852,HexCer(d18:1/23:0),NA
exGF10,AngII,COL,0.709,HexCer(d18:1/23:0),NA
exGF11,AngII,COL,0.666,HexCer(d18:1/23:0),NA
exGF12,AngII,COL,,HexCer(d18:1/23:0),NA
exGF13,AngII,COL,0.648,HexCer(d18:1/23:0),NA
exGF14,AngII,COL,0.88,HexCer(d18:1/23:0),NA
exGF16,AngII,COL,0.73,HexCer(d18:1/23:0),NA
exGF17,AngII,COL,0.639,HexCer(d18:1/23:0),NA
exGF18,AngII,COL,1.19,HexCer(d18:1/23:0),NA
exGF19,AngII,COL,1.24,HexCer(d18:1/23:0),NA
GF07,AngII,GF,0.917,HexCer(d18:1/23:0),NA
GF08,AngII,GF,0.781,HexCer(d18:1/23:0),NA
GF09,AngII,GF,0.626,HexCer(d18:1/23:0),NA
GF10,AngII,GF,0.957,HexCer(d18:1/23:0),NA
GF15,AngII,GF,1,HexCer(d18:1/23:0),NA
GF16,AngII,GF,0.786,HexCer(d18:1/23:0),NA
GF17,AngII,GF,0.782,HexCer(d18:1/23:0),NA
GF19,AngII,GF,0.798,HexCer(d18:1/23:0),NA
GF20,AngII,GF,1.02,HexCer(d18:1/23:0),NA
GF21,AngII,GF,1.1,HexCer(d18:1/23:0),NA
GF22,AngII,GF,1.02,HexCer(d18:1/23:0),NA
sGF1,Sham,GF,0.58,HexCer(d18:1/23:0),NA
sGF2,Sham,GF,0.47,HexCer(d18:1/23:0),NA
sGF3,Sham,GF,0.586,HexCer(d18:1/23:0),NA
sGF4,Sham,GF,0.547,HexCer(d18:1/23:0),NA
sGF5,Sham,GF,0.656,HexCer(d18:1/23:0),NA
sexGF1,Sham,COL,0.39,HexCer(d18:1/23:0),NA
sexGF2,Sham,COL,0.415,HexCer(d18:1/23:0),NA
sexGF3,Sham,COL,0.478,HexCer(d18:1/23:0),NA
sexGF4,Sham,COL,0.611,HexCer(d18:1/23:0),NA
sexGF5,Sham,COL,0.537,HexCer(d18:1/23:0),NA
exGF06,AngII,COL,69.1,His,histidine
exGF07,AngII,COL,73.2,His,histidine
exGF09,AngII,COL,80.1,His,histidine
exGF10,AngII,COL,79.5,His,histidine
exGF11,AngII,COL,78.9,His,histidine
exGF12,AngII,COL,81.6,His,histidine
exGF13,AngII,COL,75,His,histidine
exGF14,AngII,COL,86,His,histidine
exGF16,AngII,COL,68.3,His,histidine
exGF17,AngII,COL,67.7,His,histidine
exGF18,AngII,COL,47.4,His,histidine
exGF19,AngII,COL,92.2,His,histidine
GF07,AngII,GF,53.9,His,histidine
GF08,AngII,GF,51.3,His,histidine
GF09,AngII,GF,96.2,His,histidine
GF10,AngII,GF,66,His,histidine
GF15,AngII,GF,76.6,His,histidine
GF16,AngII,GF,130,His,histidine
GF17,AngII,GF,77.1,His,histidine
GF19,AngII,GF,62.7,His,histidine
GF20,AngII,GF,68.1,His,histidine
GF21,AngII,GF,77.1,His,histidine
GF22,AngII,GF,66,His,histidine
sexGF1,Sham,COL,76.2,His,histidine
sexGF2,Sham,COL,70.4,His,histidine
sexGF3,Sham,COL,65.9,His,histidine
sexGF4,Sham,COL,75.1,His,histidine
sexGF5,Sham,COL,76.5,His,histidine
sGF1,Sham,GF,60,His,histidine
sGF2,Sham,GF,70.1,His,histidine
sGF3,Sham,GF,81.6,His,histidine
sGF4,Sham,GF,82.9,His,histidine
sGF5,Sham,GF,69.8,His,histidine
exGF06,AngII,COL,180,Ile,isoleucine
exGF07,AngII,COL,164,Ile,isoleucine
exGF09,AngII,COL,173,Ile,isoleucine
exGF10,AngII,COL,184,Ile,isoleucine
exGF11,AngII,COL,186,Ile,isoleucine
exGF12,AngII,COL,154,Ile,isoleucine
exGF13,AngII,COL,137,Ile,isoleucine
exGF14,AngII,COL,198,Ile,isoleucine
exGF16,AngII,COL,122,Ile,isoleucine
exGF17,AngII,COL,160,Ile,isoleucine
exGF18,AngII,COL,146,Ile,isoleucine
exGF19,AngII,COL,199,Ile,isoleucine
GF07,AngII,GF,137,Ile,isoleucine
GF08,AngII,GF,190,Ile,isoleucine
GF09,AngII,GF,296,Ile,isoleucine
GF10,AngII,GF,185,Ile,isoleucine
GF15,AngII,GF,176,Ile,isoleucine
GF16,AngII,GF,169,Ile,isoleucine
GF17,AngII,GF,217,Ile,isoleucine
GF19,AngII,GF,154,Ile,isoleucine
GF20,AngII,GF,139,Ile,isoleucine
GF21,AngII,GF,181,Ile,isoleucine
GF22,AngII,GF,153,Ile,isoleucine
sexGF1,Sham,COL,113,Ile,isoleucine
sexGF2,Sham,COL,156,Ile,isoleucine
sexGF3,Sham,COL,110,Ile,isoleucine
sexGF4,Sham,COL,106,Ile,isoleucine
sexGF5,Sham,COL,108,Ile,isoleucine
sGF1,Sham,GF,159,Ile,isoleucine
sGF2,Sham,GF,163,Ile,isoleucine
sGF3,Sham,GF,186,Ile,isoleucine
sGF4,Sham,GF,188,Ile,isoleucine
sGF5,Sham,GF,174,Ile,isoleucine
exGF06,AngII,COL,229,Leu,leucine
exGF07,AngII,COL,225,Leu,leucine
exGF09,AngII,COL,262,Leu,leucine
exGF10,AngII,COL,245,Leu,leucine
exGF11,AngII,COL,272,Leu,leucine
exGF12,AngII,COL,232,Leu,leucine
exGF13,AngII,COL,183,Leu,leucine
exGF14,AngII,COL,270,Leu,leucine
exGF16,AngII,COL,170,Leu,leucine
exGF17,AngII,COL,225,Leu,leucine
exGF18,AngII,COL,167,Leu,leucine
exGF19,AngII,COL,279,Leu,leucine
GF07,AngII,GF,166,Leu,leucine
GF08,AngII,GF,240,Leu,leucine
GF09,AngII,GF,,Leu,leucine
GF10,AngII,GF,224,Leu,leucine
GF15,AngII,GF,263,Leu,leucine
GF16,AngII,GF,254,Leu,leucine
GF17,AngII,GF,304,Leu,leucine
GF19,AngII,GF,213,Leu,leucine
GF20,AngII,GF,187,Leu,leucine
GF21,AngII,GF,261,Leu,leucine
GF22,AngII,GF,219,Leu,leucine
sexGF1,Sham,COL,162,Leu,leucine
sexGF2,Sham,COL,221,Leu,leucine
sexGF3,Sham,COL,152,Leu,leucine
sexGF4,Sham,COL,148,Leu,leucine
sexGF5,Sham,COL,151,Leu,leucine
sGF1,Sham,GF,249,Leu,leucine
sGF2,Sham,GF,250,Leu,leucine
sGF3,Sham,GF,290,Leu,leucine
sGF4,Sham,GF,279,Leu,leucine
sGF5,Sham,GF,255,Leu,leucine
exGF06,AngII,COL,413,Lys,lysine
exGF07,AngII,COL,435,Lys,lysine
exGF09,AngII,COL,430,Lys,lysine
exGF10,AngII,COL,444,Lys,lysine
exGF11,AngII,COL,493,Lys,lysine
exGF12,AngII,COL,280,Lys,lysine
exGF13,AngII,COL,303,Lys,lysine
exGF14,AngII,COL,456,Lys,lysine
exGF16,AngII,COL,275,Lys,lysine
exGF17,AngII,COL,361,Lys,lysine
exGF18,AngII,COL,341,Lys,lysine
exGF19,AngII,COL,489,Lys,lysine
GF07,AngII,GF,323,Lys,lysine
GF08,AngII,GF,373,Lys,lysine
GF09,AngII,GF,602,Lys,lysine
GF10,AngII,GF,364,Lys,lysine
GF15,AngII,GF,401,Lys,lysine
GF16,AngII,GF,381,Lys,lysine
GF17,AngII,GF,464,Lys,lysine
GF19,AngII,GF,336,Lys,lysine
GF20,AngII,GF,386,Lys,lysine
GF21,AngII,GF,480,Lys,lysine
GF22,AngII,GF,340,Lys,lysine
sexGF1,Sham,COL,278,Lys,lysine
sexGF2,Sham,COL,295,Lys,lysine
sexGF3,Sham,COL,217,Lys,lysine
sexGF4,Sham,COL,269,Lys,lysine
sexGF5,Sham,COL,247,Lys,lysine
sGF1,Sham,GF,348,Lys,lysine
sGF2,Sham,GF,361,Lys,lysine
sGF3,Sham,GF,494,Lys,lysine
sGF4,Sham,GF,438,Lys,lysine
sGF5,Sham,GF,385,Lys,lysine
exGF06,AngII,COL,259,lysoPC a C16:0,lysoPC a C16:0
exGF07,AngII,COL,256,lysoPC a C16:0,lysoPC a C16:0
exGF09,AngII,COL,259,lysoPC a C16:0,lysoPC a C16:0
exGF10,AngII,COL,249,lysoPC a C16:0,lysoPC a C16:0
exGF11,AngII,COL,273,lysoPC a C16:0,lysoPC a C16:0
exGF12,AngII,COL,203,lysoPC a C16:0,lysoPC a C16:0
exGF13,AngII,COL,227,lysoPC a C16:0,lysoPC a C16:0
exGF14,AngII,COL,317,lysoPC a C16:0,lysoPC a C16:0
exGF16,AngII,COL,282,lysoPC a C16:0,lysoPC a C16:0
exGF17,AngII,COL,291,lysoPC a C16:0,lysoPC a C16:0
exGF18,AngII,COL,282,lysoPC a C16:0,lysoPC a C16:0
exGF19,AngII,COL,234,lysoPC a C16:0,lysoPC a C16:0
GF07,AngII,GF,321,lysoPC a C16:0,lysoPC a C16:0
GF08,AngII,GF,309,lysoPC a C16:0,lysoPC a C16:0
GF09,AngII,GF,142,lysoPC a C16:0,lysoPC a C16:0
GF10,AngII,GF,291,lysoPC a C16:0,lysoPC a C16:0
GF15,AngII,GF,282,lysoPC a C16:0,lysoPC a C16:0
GF16,AngII,GF,156,lysoPC a C16:0,lysoPC a C16:0
GF17,AngII,GF,301,lysoPC a C16:0,lysoPC a C16:0
GF19,AngII,GF,273,lysoPC a C16:0,lysoPC a C16:0
GF20,AngII,GF,283,lysoPC a C16:0,lysoPC a C16:0
GF21,AngII,GF,293,lysoPC a C16:0,lysoPC a C16:0
GF22,AngII,GF,306,lysoPC a C16:0,lysoPC a C16:0
sGF1,Sham,GF,310,lysoPC a C16:0,lysoPC a C16:0
sGF2,Sham,GF,310,lysoPC a C16:0,lysoPC a C16:0
sGF3,Sham,GF,390,lysoPC a C16:0,lysoPC a C16:0
sGF4,Sham,GF,364,lysoPC a C16:0,lysoPC a C16:0
sGF5,Sham,GF,333,lysoPC a C16:0,lysoPC a C16:0
sexGF1,Sham,COL,295,lysoPC a C16:0,lysoPC a C16:0
sexGF2,Sham,COL,246,lysoPC a C16:0,lysoPC a C16:0
sexGF3,Sham,COL,285,lysoPC a C16:0,lysoPC a C16:0
sexGF4,Sham,COL,253,lysoPC a C16:0,lysoPC a C16:0
sexGF5,Sham,COL,252,lysoPC a C16:0,lysoPC a C16:0
exGF06,AngII,COL,159,lysoPC a C18:0,lysoPC a C18:0
exGF07,AngII,COL,153,lysoPC a C18:0,lysoPC a C18:0
exGF09,AngII,COL,131,lysoPC a C18:0,lysoPC a C18:0
exGF10,AngII,COL,119,lysoPC a C18:0,lysoPC a C18:0
exGF11,AngII,COL,128,lysoPC a C18:0,lysoPC a C18:0
exGF12,AngII,COL,81.7,lysoPC a C18:0,lysoPC a C18:0
exGF13,AngII,COL,103,lysoPC a C18:0,lysoPC a C18:0
exGF14,AngII,COL,136,lysoPC a C18:0,lysoPC a C18:0
exGF16,AngII,COL,154,lysoPC a C18:0,lysoPC a C18:0
exGF17,AngII,COL,124,lysoPC a C18:0,lysoPC a C18:0
exGF18,AngII,COL,132,lysoPC a C18:0,lysoPC a C18:0
exGF19,AngII,COL,113,lysoPC a C18:0,lysoPC a C18:0
GF07,AngII,GF,166,lysoPC a C18:0,lysoPC a C18:0
GF08,AngII,GF,164,lysoPC a C18:0,lysoPC a C18:0
GF09,AngII,GF,94.1,lysoPC a C18:0,lysoPC a C18:0
GF10,AngII,GF,177,lysoPC a C18:0,lysoPC a C18:0
